,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27,2021-02-03
0,JP-01,北海道,355,508,708,819,678,514,452,256,227,240,397,425,307,360
1,JP-02,青森県,6,7,2,1,0,17,11,5,7,40,29,29,4,14
2,JP-03,岩手県,0,0,22,16,9,2,29,16,12,2,5,1,5,1
3,JP-04,宮城県,88,22,32,49,49,36,86,91,145,103,174,198,200,100
4,JP-05,秋田県,0,1,1,0,8,1,1,1,18,20,10,20,16,4
5,JP-06,山形県,0,0,1,0,0,0,22,8,0,0,0,0,0,2
6,JP-07,福島県,0,4,0,1,0,1,9,8,55,15,71,42,23,12
7,JP-08,茨城県,10,7,32,61,50,49,62,50,85,112,162,203,113,101
8,JP-09,栃木県,0,0,0,2,8,5,14,32,38,42,69,90,79,62
9,JP-10,群馬県,16,15,17,31,55,82,89,107,103,129,214,129,146,118
10,JP-11,埼玉県,78,155,208,207,158,235,212,229,269,264,282,276,302,298
11,JP-12,千葉県,78,132,158,163,162,181,247,222,250,215,315,280,271,290
12,JP-13,東京都,274,382,592,895,712,804,938,983,1107,924,981,876,737,607
13,JP-14,神奈川県,131,163,264,338,207,225,322,408,512,428,538,416,250,237
14,JP-15,新潟県,0,0,3,7,10,2,7,7,18,28,34,30,23,19
15,JP-16,富山県,1,0,0,3,1,0,0,2,10,5,68,29,3,1
16,JP-17,石川県,1,0,1,2,2,1,2,4,4,10,26,33,34,11
17,JP-18,福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,JP-19,山梨県,2,1,6,3,1,14,4,3,5,21,36,41,6,4
19,JP-20,長野県,0,2,24,14,13,16,22,9,20,57,147,101,30,21
20,JP-21,岐阜県,0,0,4,10,14,37,83,40,83,134,188,113,70,68
21,JP-22,静岡県,21,16,52,81,57,44,45,44,46,67,127,107,81,45
22,JP-23,愛知県,106,153,225,208,198,262,275,224,223,232,272,233,247,201
23,JP-24,三重県,0,0,0,5,8,8,9,9,1,2,11,19,21,25
24,JP-25,滋賀県,1,28,30,14,14,11,17,38,54,76,123,122,106,65
25,JP-26,京都府,11,18,29,43,39,62,91,81,66,79,104,137,124,88
26,JP-27,大阪府,247,275,465,702,640,694,791,653,654,673,1225,1040,1104,654
27,JP-28,兵庫県,29,51,162,239,180,292,247,220,306,282,476,417,414,355
28,JP-29,奈良県,5,12,21,33,44,62,68,67,92,117,121,105,102,71
29,JP-30,和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,JP-31,鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,4,2
31,JP-32,島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,JP-33,岡山県,21,9,7,24,26,24,28,68,52,49,69,58,39,29
33,JP-34,広島県,0,0,2,9,20,77,66,102,185,284,253,129,115,108
34,JP-35,山口県,0,1,3,23,2,2,1,2,20,26,14,122,161,123
35,JP-36,徳島県,0,0,0,0,0,0,0,0,0,0,10,9,41,6
36,JP-37,香川県,0,0,2,7,1,6,18,5,24,16,39,39,30,33
37,JP-38,愛媛県,0,0,0,24,11,7,5,3,24,30,52,32,27,9
38,JP-39,高知県,0,0,0,0,0,14,16,20,35,20,20,41,29,12
39,JP-40,福岡県,22,27,35,74,113,138,257,465,479,490,521,569,593,412
40,JP-41,佐賀県,4,8,5,3,2,13,20,20,28,30,59,92,62,20
41,JP-42,長崎県,0,0,1,3,7,2,30,61,73,88,80,75,40,33
42,JP-43,熊本県,6,9,9,5,14,21,33,31,41,65,96,81,64,21
43,JP-44,大分県,0,0,0,24,40,63,76,23,28,42,46,46,43,40
44,JP-45,宮崎県,0,0,0,49,38,42,30,29,18,93,71,69,77,61
45,JP-46,鹿児島県,8,30,6,28,16,23,91,21,49,54,110,69,67,50
46,JP-47,沖縄県,54,68,84,58,87,63,62,71,96,111,136,146,141,117
