,japan_prefecture_code,都道府県名,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27
0,JP-01,北海道,570,1160,1903,2359,2279,2248,2183,1750,1591,1607,1588,1623,1383
1,JP-02,青森県,80,59,31,15,26,53,51,25,63,92,70,94,56
2,JP-03,岩手県,4,7,57,95,80,55,116,101,68,50,70,68,33
3,JP-04,宮城県,219,182,190,188,136,152,310,348,432,287,427,474,419
4,JP-05,秋田県,4,7,8,4,12,2,4,5,36,37,28,53,58
5,JP-06,山形県,4,10,14,17,31,57,117,95,85,58,59,39,38
6,JP-07,福島県,28,38,45,56,48,64,134,171,211,235,340,322,269
7,JP-08,茨城県,35,64,225,283,354,371,281,226,262,367,749,765,720
8,JP-09,栃木県,26,22,35,90,140,171,204,240,382,669,1129,1153,798
9,JP-10,群馬県,47,38,46,110,199,247,323,341,313,352,572,531,361
10,JP-11,埼玉県,397,606,820,984,1203,1598,1785,2193,2942,3467,4925,6588,4611
11,JP-12,千葉県,328,411,619,777,874,780,1000,1340,1899,2848,4667,6020,6299
12,JP-13,東京都,1816,2135,2751,3754,3937,4429,5070,6007,8235,12431,19207,19533,16120
13,JP-14,神奈川県,545,662,1027,1207,1363,1121,1584,2019,2974,3447,5635,6441,3797
14,JP-15,新潟県,4,18,72,101,93,79,79,69,95,106,162,148,124
15,JP-16,富山県,1,2,5,19,18,6,16,31,50,61,148,112,57
16,JP-17,石川県,19,16,7,9,24,31,55,86,105,138,154,173,129
17,JP-18,福井県,1,10,19,30,22,17,16,12,17,18,39,72,77
18,JP-19,山梨県,16,32,58,56,50,91,44,44,61,102,177,132,64
19,JP-20,長野県,16,50,116,132,123,162,194,155,123,202,490,422,246
20,JP-21,岐阜県,42,88,107,144,214,284,370,368,474,657,726,655,518
21,JP-22,静岡県,71,104,172,413,529,616,677,496,407,535,858,897,816
22,JP-23,愛知県,579,834,1189,1582,1731,1951,2155,2163,2358,2510,3288,3389,2705
23,JP-24,三重県,20,41,44,135,188,178,190,137,147,180,318,326,405
24,JP-25,滋賀県,24,75,85,89,77,62,74,102,223,293,381,338,341
25,JP-26,京都府,98,124,191,242,229,325,512,738,1029,1136,1464,1670,1468
26,JP-27,大阪府,1042,1297,1955,3229,4192,4209,4249,3629,3349,4167,5850,6355,5731
27,JP-28,兵庫県,178,277,459,697,704,809,780,901,1162,1041,1589,1946,1833
28,JP-29,奈良県,54,108,154,194,204,249,229,279,340,351,378,395,326
29,JP-30,和歌山県,6,21,52,84,84,71,67,34,27,98,133,144,136
30,JP-31,鳥取県,2,11,11,5,6,8,9,9,43,73,57,46,40
31,JP-32,島根県,0,0,1,3,6,11,16,22,32,22,21,16,14
32,JP-33,岡山県,118,80,109,156,140,116,206,384,292,327,479,387,252
33,JP-34,広島県,12,22,36,70,118,350,752,1114,1402,985,873,518,338
34,JP-35,山口県,4,19,58,120,61,53,46,57,116,129,149,300,384
35,JP-36,徳島県,0,6,6,11,6,6,3,6,5,22,69,82,101
36,JP-37,香川県,3,6,17,22,22,55,46,42,95,90,168,182,153
37,JP-38,愛媛県,0,5,27,130,141,77,55,34,86,125,242,210,166
38,JP-39,高知県,1,0,0,5,18,121,187,207,158,85,76,73,52
39,JP-40,福岡県,74,99,97,186,332,431,690,1021,1360,1762,3112,3840,2839
40,JP-41,佐賀県,10,18,11,16,27,43,49,41,49,71,138,242,181
41,JP-42,長崎県,1,5,8,18,18,10,70,159,280,339,472,397,269
42,JP-43,熊本県,51,56,88,77,92,116,235,233,343,391,680,704,438
43,JP-44,大分県,0,2,18,60,97,144,134,78,89,129,141,130,142
44,JP-45,宮崎県,4,3,13,82,97,95,72,71,76,286,496,368,255
45,JP-46,鹿児島県,20,67,33,46,36,80,173,66,118,141,223,165,197
46,JP-47,沖縄県,292,268,323,302,393,371,341,273,327,375,537,776,743
